"";"link";"url";"num";"year";"...5";"L1"
"632";"
 Т. 91  № 2";"contents.asp?id=44811419";"Номер: 2";"Год: 2021";"Дата размещения:11.03.2021";"Вестник Российской академии наук"
"633";"
 Т. 91  № 3";"contents.asp?id=44848360";"Номер: 3";"Год: 2021";"Дата размещения:20.03.2021";"Вестник Российской академии наук"
"634";"
 Т. 91  № 4";"contents.asp?id=45693502";"Номер: 4";"Год: 2021";"Дата размещения:12.05.2021";"Вестник Российской академии наук"
"635";"
 Т. 91  № 5";"contents.asp?id=46120920";"Номер: 5";"Год: 2021";"Дата размещения:11.06.2021";"Вестник Российской академии наук"
"636";"
 Т. 91  № 6";"contents.asp?id=46153398";"Номер: 6";"Год: 2021";"Дата размещения:17.06.2021";"Вестник Российской академии наук"
"637";"
 Т. 91  № 7";"contents.asp?id=46227226";"Номер: 7";"Год: 2021";"Дата размещения:02.07.2021";"Вестник Российской академии наук"
"638";"
 Т. 91  № 8";"contents.asp?id=46386413";"Номер: 8";"Год: 2021";"Дата размещения:06.08.2021";"Вестник Российской академии наук"
"639";"
 Т. 91  № 9";"contents.asp?id=46464581";"Номер: 9";"Год: 2021";"Дата размещения:30.08.2021";"Вестник Российской академии наук"
"640";"
 Т. 91  № 10";"contents.asp?id=46688290";"Номер: 10";"Год: 2021";"Дата размещения:20.10.2021";"Вестник Российской академии наук"
"641";"
 Т. 91  № 11";"contents.asp?id=47249642";"Номер: 11";"Год: 2021";"Дата размещения:30.11.2021";"Вестник Российской академии наук"
"642";"
 Т. 91  № 12";"contents.asp?id=47326664";"Номер: 12";"Год: 2021";"Дата размещения:14.12.2021";"Вестник Российской академии наук"
"643";"
 Т. 90  № 1";"contents.asp?id=42366373";"Номер: 1";"Год: 2020";"Дата размещения:17.02.2020";"Вестник Российской академии наук"
"644";"
 Т. 90  № 2";"contents.asp?id=42446525";"Номер: 2";"Год: 2020";"Дата размещения:03.03.2020";"Вестник Российской академии наук"
"645";"
 Т. 90  № 3";"contents.asp?id=42578327";"Номер: 3";"Год: 2020";"Дата размещения:25.03.2020";"Вестник Российской академии наук"
"646";"
 Т. 90  № 4";"contents.asp?id=42773604";"Номер: 4";"Год: 2020";"Дата размещения:06.05.2020";"Вестник Российской академии наук"
"647";"
 Т. 90  № 5";"contents.asp?id=42929947";"Номер: 5";"Год: 2020";"Дата размещения:09.06.2020";"Вестник Российской академии наук"
"648";"
 Т. 90  № 6";"contents.asp?id=42995028";"Номер: 6";"Год: 2020";"Дата размещения:22.06.2020";"Вестник Российской академии наук"
"649";"
 Т. 90  № 7";"contents.asp?id=43182356";"Номер: 7";"Год: 2020";"Дата размещения:31.07.2020";"Вестник Российской академии наук"
"650";"
 Т. 90  № 8";"contents.asp?id=43793851";"Номер: 8";"Год: 2020";"Дата размещения:17.08.2020";"Вестник Российской академии наук"
"651";"
 Т. 90  № 9";"contents.asp?id=43928265";"Номер: 9";"Год: 2020";"Дата размещения:16.09.2020";"Вестник Российской академии наук"
"652";"
 Т. 90  № 10";"contents.asp?id=44096011";"Номер: 10";"Год: 2020";"Дата размещения:26.10.2020";"Вестник Российской академии наук"
"653";"
 Т. 90  № 11";"contents.asp?id=44220653";"Номер: 11";"Год: 2020";"Дата размещения:19.11.2020";"Вестник Российской академии наук"
"654";"
 Т. 90  № 12";"contents.asp?id=44367162";"Номер: 12";"Год: 2020";"Дата размещения:18.12.2020";"Вестник Российской академии наук"
"655";"
 № 1";"contents.asp?id=67879881";"Номер: 1";"Год: 2024";"Дата размещения:25.06.2024";"Вестник российской сельскохозяйственной науки"
"656";"
 № 2";"contents.asp?id=67875302";"Номер: 2";"Год: 2024";"Дата размещения:24.06.2024";"Вестник российской сельскохозяйственной науки"
"657";"
 № 3";"contents.asp?id=67910945";"Номер: 3";"Год: 2024";"Дата размещения:01.07.2024";"Вестник российской сельскохозяйственной науки"
"658";"
 № 4";"contents.asp?id=68622171";"Номер: 4";"Год: 2024";"Дата размещения:26.08.2024";"Вестник российской сельскохозяйственной науки"
"659";"
 № 5";"contents.asp?id=73887372";"Номер: 5";"Год: 2024";"Дата размещения:28.10.2024";"Вестник российской сельскохозяйственной науки"
"660";"
 № 6";"contents.asp?id=75171761";"Номер: 6";"Год: 2024";"Дата размещения:10.12.2024";"Вестник российской сельскохозяйственной науки"
"661";"
 № 1";"contents.asp?id=50332727";"Номер: 1";"Год: 2023";"Дата размещения:06.03.2023";"Вестник российской сельскохозяйственной науки"
"662";"
 № 2";"contents.asp?id=50513199";"Номер: 2";"Год: 2023";"Дата размещения:17.04.2023";"Вестник российской сельскохозяйственной науки"
"663";"
 № 3";"contents.asp?id=54021443";"Номер: 3";"Год: 2023";"Дата размещения:23.06.2023";"Вестник российской сельскохозяйственной науки"
"664";"
 № 4";"contents.asp?id=54296561";"Номер: 4";"Год: 2023";"Дата размещения:16.08.2023";"Вестник российской сельскохозяйственной науки"
"665";"
 № 5";"contents.asp?id=54710124";"Номер: 5";"Год: 2023";"Дата размещения:24.10.2023";"Вестник российской сельскохозяйственной науки"
"666";"
 № 6";"contents.asp?id=55865511";"Номер: 6";"Год: 2023";"Дата размещения:19.12.2023";"Вестник российской сельскохозяйственной науки"
"667";"
 № 1";"contents.asp?id=47986807";"Номер: 1";"Год: 2022";"Дата размещения:22.02.2022";"Вестник российской сельскохозяйственной науки"
"668";"
 № 2";"contents.asp?id=48227693";"Номер: 2";"Год: 2022";"Дата размещения:12.04.2022";"Вестник российской сельскохозяйственной науки"
"669";"
 № 3";"contents.asp?id=48559871";"Номер: 3";"Год: 2022";"Дата размещения:03.06.2022";"Вестник российской сельскохозяйственной науки"
"670";"
 № 4";"contents.asp?id=49245209";"Номер: 4";"Год: 2022";"Дата размещения:04.08.2022";"Вестник российской сельскохозяйственной науки"
"671";"
 № 5";"contents.asp?id=49509230";"Номер: 5";"Год: 2022";"Дата размещения:10.10.2022";"Вестник российской сельскохозяйственной науки"
"672";"
 № 6";"contents.asp?id=49850739";"Номер: 6";"Год: 2022";"Дата размещения:05.12.2022";"Вестник российской сельскохозяйственной науки"
"673";"
 № 1";"contents.asp?id=44595351";"Номер: 1";"Год: 2021";"Дата размещения:29.01.2021";"Вестник российской сельскохозяйственной науки"
"674";"
 № 2";"contents.asp?id=44927243";"Номер: 2";"Год: 2021";"Дата размещения:05.04.2021";"Вестник российской сельскохозяйственной науки"
"675";"
 № 3";"contents.asp?id=45751589";"Номер: 3";"Год: 2021";"Дата размещения:23.05.2021";"Вестник российской сельскохозяйственной науки"
"676";"
 № 4";"contents.asp?id=46326539";"Номер: 4";"Год: 2021";"Дата размещения:21.07.2021";"Вестник российской сельскохозяйственной науки"
"677";"
 № 5";"contents.asp?id=46625479";"Номер: 5";"Год: 2021";"Дата размещения:06.10.2021";"Вестник российской сельскохозяйственной науки"
"678";"
 № 6";"contents.asp?id=47219185";"Номер: 6";"Год: 2021";"Дата размещения:24.11.2021";"Вестник российской сельскохозяйственной науки"
"679";"
 № 1";"contents.asp?id=42320059";"Номер: 1";"Год: 2020";"Дата размещения:07.02.2020";"Вестник российской сельскохозяйственной науки"
"680";"
 № 2";"contents.asp?id=42619950";"Номер: 2";"Год: 2020";"Дата размещения:03.04.2020";"Вестник российской сельскохозяйственной науки"
"681";"
 № 3";"contents.asp?id=42851902";"Номер: 3";"Год: 2020";"Дата размещения:22.05.2020";"Вестник российской сельскохозяйственной науки"
"682";"
 № 4";"contents.asp?id=43168039";"Номер: 4";"Год: 2020";"Дата размещения:28.07.2020";"Вестник российской сельскохозяйственной науки"
"683";"
 № 5";"contents.asp?id=43955883";"Номер: 5";"Год: 2020";"Дата размещения:23.09.2020";"Вестник российской сельскохозяйственной науки"
"684";"
 № 6";"contents.asp?id=44263113";"Номер: 6";"Год: 2020";"Дата размещения:27.11.2020";"Вестник российской сельскохозяйственной науки"
"685";"
 Т. 51  № 1";"contents.asp?id=68484160";"Номер: 1";"Год: 2024";"Дата размещения:25.07.2024";"Водные ресурсы"
"686";"
 Т. 51  № 2";"contents.asp?id=68639722";"Номер: 2";"Год: 2024";"Дата размещения:30.08.2024";"Водные ресурсы"
"687";"
 Т. 51  № 3";"contents.asp?id=73881896";"Номер: 3";"Год: 2024";"Дата размещения:28.10.2024";"Водные ресурсы"
"688";"
 Т. 50  № 1";"contents.asp?id=50404810";"Номер: 1";"Год: 2023";"Дата размещения:25.03.2023";"Водные ресурсы"
"689";"
 Т. 50  № 2";"contents.asp?id=50461722";"Номер: 2";"Год: 2023";"Дата размещения:05.04.2023";"Водные ресурсы"
"690";"
 Т. 50  № 3";"contents.asp?id=50731527";"Номер: 3";"Год: 2023";"Дата размещения:19.04.2023";"Водные ресурсы"
"691";"
 Т. 50  № 4";"contents.asp?id=53986181";"Номер: 4";"Год: 2023";"Дата размещения:20.06.2023";"Водные ресурсы"
"692";"
 Т. 50  № 5";"contents.asp?id=54238606";"Номер: 5";"Год: 2023";"Дата размещения:01.08.2023";"Водные ресурсы"
"693";"
 Т. 50  № 6";"contents.asp?id=54620467";"Номер: 6";"Год: 2023";"Дата размещения:04.10.2023";"Водные ресурсы"
"694";"
 Т. 49  № 1";"contents.asp?id=47488213";"Номер: 1";"Год: 2022";"Дата размещения:11.01.2022";"Водные ресурсы"
"695";"
 Т. 49  № 2";"contents.asp?id=47806668";"Номер: 2";"Год: 2022";"Дата размещения:01.02.2022";"Водные ресурсы"
"696";"
 Т. 49  № 3";"contents.asp?id=48340548";"Номер: 3";"Год: 2022";"Дата размещения:29.04.2022";"Водные ресурсы"
"697";"
 Т. 49  № 4";"contents.asp?id=48621864";"Номер: 4";"Год: 2022";"Дата размещения:14.06.2022";"Водные ресурсы"
"698";"
 Т. 49  № 5";"contents.asp?id=49235285";"Номер: 5";"Год: 2022";"Дата размещения:02.08.2022";"Водные ресурсы"
"699";"
 Т. 49  № 6";"contents.asp?id=49487665";"Номер: 6";"Год: 2022";"Дата размещения:04.10.2022";"Водные ресурсы"
"700";"
 Т. 48  № 1";"contents.asp?id=44429152";"Номер: 1";"Год: 2021";"Дата размещения:28.12.2020";"Водные ресурсы"
"701";"
 Т. 48  № 2";"contents.asp?id=44652389";"Номер: 2";"Год: 2021";"Дата размещения:08.02.2021";"Водные ресурсы"
"702";"
 Т. 48  № 3";"contents.asp?id=45069919";"Номер: 3";"Год: 2021";"Дата размещения:07.04.2021";"Водные ресурсы"
"703";"
 Т. 48  № 4";"contents.asp?id=46153141";"Номер: 4";"Год: 2021";"Дата размещения:17.06.2021";"Водные ресурсы"
"704";"
 Т. 48  № 5";"contents.asp?id=46506696";"Номер: 5";"Год: 2021";"Дата размещения:07.09.2021";"Водные ресурсы"
"705";"
 Т. 48  № 6";"contents.asp?id=46622068";"Номер: 6";"Год: 2021";"Дата размещения:05.10.2021";"Водные ресурсы"
"706";"
 Т. 47  № 1";"contents.asp?id=41807095";"Номер: 1";"Год: 2020";"Дата размещения:24.01.2020";"Водные ресурсы"
"707";"
 Т. 47  № 2";"contents.asp?id=42339952";"Номер: 2";"Год: 2020";"Дата размещения:11.02.2020";"Водные ресурсы"
"708";"
 Т. 47  № 3";"contents.asp?id=42652112";"Номер: 3";"Год: 2020";"Дата размещения:10.04.2020";"Водные ресурсы"
"709";"
 Т. 47  № 4";"contents.asp?id=43039728";"Номер: 4";"Год: 2020";"Дата размещения:30.06.2020";"Водные ресурсы"
"710";"
 Т. 47  № 5";"contents.asp?id=43832307";"Номер: 5";"Год: 2020";"Дата размещения:27.08.2020";"Водные ресурсы"
"711";"
 Т. 47  № 6";"contents.asp?id=44007978";"Номер: 6";"Год: 2020";"Дата размещения:05.10.2020";"Водные ресурсы"
"712";"
 Т. 45  № 1";"contents.asp?id=67912779";"Номер: 1";"Год: 2024";"Дата размещения:01.07.2024";"Вопросы истории естествознания и техники"
"713";"
 Т. 45  № 2";"contents.asp?id=69154007";"Номер: 2";"Год: 2024";"Дата размещения:11.09.2024";"Вопросы истории естествознания и техники"
"714";"
 Т. 45  № 3";"contents.asp?id=74211700";"Номер: 3";"Год: 2024";"Дата размещения:01.11.2024";"Вопросы истории естествознания и техники"
"715";"
 Т. 44  № 1";"contents.asp?id=51678858";"Номер: 1";"Год: 2023";"Дата размещения:30.04.2023";"Вопросы истории естествознания и техники"
"716";"
 Т. 44  № 2";"contents.asp?id=54139830";"Номер: 2";"Год: 2023";"Дата размещения:13.07.2023";"Вопросы истории естествознания и техники"
"717";"
 Т. 44  № 3";"contents.asp?id=54593829";"Номер: 3";"Год: 2023";"Дата размещения:28.09.2023";"Вопросы истории естествознания и техники"
"718";"
 Т. 44  № 4";"contents.asp?id=56945817";"Номер: 4";"Год: 2023";"Дата размещения:29.12.2023";"Вопросы истории естествознания и техники"
"719";"
 Т. 43  № 1";"contents.asp?id=48166076";"Номер: 1";"Год: 2022";"Дата размещения:31.03.2022";"Вопросы истории естествознания и техники"
"720";"
 Т. 43  № 2";"contents.asp?id=48708253";"Номер: 2";"Год: 2022";"Дата размещения:29.06.2022";"Вопросы истории естествознания и техники"
"721";"
 Т. 43  № 3";"contents.asp?id=49457371";"Номер: 3";"Год: 2022";"Дата размещения:27.09.2022";"Вопросы истории естествознания и техники"
"722";"
 Т. 43  № 4";"contents.asp?id=49923930";"Номер: 4";"Год: 2022";"Дата размещения:16.12.2022";"Вопросы истории естествознания и техники"
"723";"
 Т. 42  № 1";"contents.asp?id=44885261";"Номер: 1";"Год: 2021";"Дата размещения:29.03.2021";"Вопросы истории естествознания и техники"
"724";"
 Т. 42  № 2";"contents.asp?id=46204323";"Номер: 2";"Год: 2021";"Дата размещения:29.06.2021";"Вопросы истории естествознания и техники"
"725";"
 Т. 42  № 3";"contents.asp?id=46591870";"Номер: 3";"Год: 2021";"Дата размещения:29.09.2021";"Вопросы истории естествознания и техники"
"726";"
 Т. 42  № 4";"contents.asp?id=47346666";"Номер: 4";"Год: 2021";"Дата размещения:17.12.2021";"Вопросы истории естествознания и техники"
"727";"
 Т. 41  № 1";"contents.asp?id=42575646";"Номер: 1";"Год: 2020";"Дата размещения:25.03.2020";"Вопросы истории естествознания и техники"
"728";"
 Т. 41  № 2";"contents.asp?id=42992509";"Номер: 2";"Год: 2020";"Дата размещения:22.06.2020";"Вопросы истории естествознания и техники"
"729";"
 Т. 41  № 3";"contents.asp?id=43983167";"Номер: 3";"Год: 2020";"Дата размещения:29.09.2020";"Вопросы истории естествознания и техники"
"730";"
 Т. 41  № 4";"contents.asp?id=44404596";"Номер: 4";"Год: 2020";"Дата размещения:24.12.2020";"Вопросы истории естествознания и техники"
"731";"
 Т. 64  № 1";"contents.asp?id=67923923";"Номер: 1";"Год: 2024";"Дата размещения:04.07.2024";"Вопросы ихтиологии"
"732";"
 Т. 64  № 2";"contents.asp?id=67965183";"Номер: 2";"Год: 2024";"Дата размещения:09.07.2024";"Вопросы ихтиологии"
"733";"
 Т. 64  № 3";"contents.asp?id=69594314";"Номер: 3";"Год: 2024";"Дата размещения:25.09.2024";"Вопросы ихтиологии"
"734";"
 Т. 63  № 1";"contents.asp?id=50404488";"Номер: 1";"Год: 2023";"Дата размещения:24.03.2023";"Вопросы ихтиологии"
"735";"
 Т. 63  № 2";"contents.asp?id=50435113";"Номер: 2";"Год: 2023";"Дата размещения:30.03.2023";"Вопросы ихтиологии"
"736";"
 Т. 63  № 3";"contents.asp?id=50501930";"Номер: 3";"Год: 2023";"Дата размещения:13.04.2023";"Вопросы ихтиологии"
"737";"
 Т. 63  № 4";"contents.asp?id=53987091";"Номер: 4";"Год: 2023";"Дата размещения:20.06.2023";"Вопросы ихтиологии"
"738";"
 Т. 63  № 5";"contents.asp?id=54348324";"Номер: 5";"Год: 2023";"Дата размещения:30.08.2023";"Вопросы ихтиологии"
"739";"
 Т. 63  № 6";"contents.asp?id=54804530";"Номер: 6";"Год: 2023";"Дата размещения:14.11.2023";"Вопросы ихтиологии"
"740";"
 Т. 62  № 1";"contents.asp?id=47695747";"Номер: 1";"Год: 2022";"Дата размещения:26.01.2022";"Вопросы ихтиологии"
"741";"
 Т. 62  № 2";"contents.asp?id=47988033";"Номер: 2";"Год: 2022";"Дата размещения:22.02.2022";"Вопросы ихтиологии"
"742";"
 Т. 62  № 3";"contents.asp?id=48457684";"Номер: 3";"Год: 2022";"Дата размещения:18.05.2022";"Вопросы ихтиологии"
"743";"
 Т. 62  № 4";"contents.asp?id=48767010";"Номер: 4";"Год: 2022";"Дата размещения:05.07.2022";"Вопросы ихтиологии"
"744";"
 Т. 62  № 5";"contents.asp?id=49297091";"Номер: 5";"Год: 2022";"Дата размещения:16.08.2022";"Вопросы ихтиологии"
"745";"
 Т. 62  № 6";"contents.asp?id=49546544";"Номер: 6";"Год: 2022";"Дата размещения:19.10.2022";"Вопросы ихтиологии"
"746";"
 Т. 61  № 1";"contents.asp?id=44595975";"Номер: 1";"Год: 2021";"Дата размещения:29.01.2021";"Вопросы ихтиологии"
"747";"
 Т. 61  № 2";"contents.asp?id=44732142";"Номер: 2";"Год: 2021";"Дата размещения:24.02.2021";"Вопросы ихтиологии"
"748";"
 Т. 61  № 3";"contents.asp?id=45683660";"Номер: 3";"Год: 2021";"Дата размещения:11.05.2021";"Вопросы ихтиологии"
"749";"
 Т. 61  № 4";"contents.asp?id=46171974";"Номер: 4";"Год: 2021";"Дата размещения:22.06.2021";"Вопросы ихтиологии"
"750";"
 Т. 61  № 5";"contents.asp?id=46465485";"Номер: 5";"Год: 2021";"Дата размещения:30.08.2021";"Вопросы ихтиологии"
"751";"
 Т. 61  № 6";"contents.asp?id=46712994";"Номер: 6";"Год: 2021";"Дата размещения:26.10.2021";"Вопросы ихтиологии"
"752";"
 Т. 60  № 1";"contents.asp?id=42341767";"Номер: 1";"Год: 2020";"Дата размещения:11.02.2020";"Вопросы ихтиологии"
"753";"
 Т. 60  № 2";"contents.asp?id=42445845";"Номер: 2";"Год: 2020";"Дата размещения:03.03.2020";"Вопросы ихтиологии"
"754";"
 Т. 60  № 3";"contents.asp?id=42726120";"Номер: 3";"Год: 2020";"Дата размещения:24.04.2020";"Вопросы ихтиологии"
"755";"
 Т. 60  № 4";"contents.asp?id=43039592";"Номер: 4";"Год: 2020";"Дата размещения:30.06.2020";"Вопросы ихтиологии"
"756";"
 Т. 60  № 5";"contents.asp?id=43795383";"Номер: 5";"Год: 2020";"Дата размещения:17.08.2020";"Вопросы ихтиологии"
"757";"
 Т. 60  № 6";"contents.asp?id=44220601";"Номер: 6";"Год: 2020";"Дата размещения:19.11.2020";"Вопросы ихтиологии"
"758";"
 № 1";"contents.asp?id=67862865";"Номер: 1";"Год: 2024";"Дата размещения:22.06.2024";"Вопросы языкознания"
"759";"
 № 2";"contents.asp?id=67887862";"Номер: 2";"Год: 2024";"Дата размещения:26.06.2024";"Вопросы языкознания"
"760";"
 № 3";"contents.asp?id=67967374";"Номер: 3";"Год: 2024";"Дата размещения:09.07.2024";"Вопросы языкознания"
"761";"
 № 4";"contents.asp?id=68622760";"Номер: 4";"Год: 2024";"Дата размещения:26.08.2024";"Вопросы языкознания"
"762";"
 № 5";"contents.asp?id=73446660";"Номер: 5";"Год: 2024";"Дата размещения:23.10.2024";"Вопросы языкознания"
"763";"
 № 1";"contents.asp?id=50288685";"Номер: 1";"Год: 2023";"Дата размещения:25.02.2023";"Вопросы языкознания"
"764";"
 № 2";"contents.asp?id=53809648";"Номер: 2";"Год: 2023";"Дата размещения:26.05.2023";"Вопросы языкознания"
"765";"
 № 3";"contents.asp?id=54012697";"Номер: 3";"Год: 2023";"Дата размещения:21.06.2023";"Вопросы языкознания"
"766";"
 № 4";"contents.asp?id=54483058";"Номер: 4";"Год: 2023";"Дата размещения:18.09.2023";"Вопросы языкознания"
"767";"
 № 5";"contents.asp?id=54915068";"Номер: 5";"Год: 2023";"Дата размещения:30.11.2023";"Вопросы языкознания"
"768";"
 № 6";"contents.asp?id=57225824";"Номер: 6";"Год: 2023";"Дата размещения:31.12.2023";"Вопросы языкознания"
"769";"
 № 1";"contents.asp?id=48037014";"Номер: 1";"Год: 2022";"Дата размещения:04.03.2022";"Вопросы языкознания"
"770";"
 № 2";"contents.asp?id=48214822";"Номер: 2";"Год: 2022";"Дата размещения:08.04.2022";"Вопросы языкознания"
"771";"
 № 3";"contents.asp?id=48551002";"Номер: 3";"Год: 2022";"Дата размещения:01.06.2022";"Вопросы языкознания"
"772";"
 № 4";"contents.asp?id=49326822";"Номер: 4";"Год: 2022";"Дата размещения:24.08.2022";"Вопросы языкознания"
"773";"
 № 5";"contents.asp?id=49513751";"Номер: 5";"Год: 2022";"Дата размещения:11.10.2022";"Вопросы языкознания"
"774";"
 № 6";"contents.asp?id=49856362";"Номер: 6";"Год: 2022";"Дата размещения:06.12.2022";"Вопросы языкознания"
"775";"
 № 1";"contents.asp?id=44740162";"Номер: 1";"Год: 2021";"Дата размещения:26.02.2021";"Вопросы языкознания"
"776";"
 № 2";"contents.asp?id=45642171";"Номер: 2";"Год: 2021";"Дата размещения:29.04.2021";"Вопросы языкознания"
"777";"
 № 3";"contents.asp?id=46138352";"Номер: 3";"Год: 2021";"Дата размещения:15.06.2021";"Вопросы языкознания"
"778";"
 № 4";"contents.asp?id=46480402";"Номер: 4";"Год: 2021";"Дата размещения:01.09.2021";"Вопросы языкознания"
"779";"
 № 5";"contents.asp?id=46715590";"Номер: 5";"Год: 2021";"Дата размещения:26.10.2021";"Вопросы языкознания"
"780";"
 № 6";"contents.asp?id=47270088";"Номер: 6";"Год: 2021";"Дата размещения:02.12.2021";"Вопросы языкознания"
"781";"
 № 1";"contents.asp?id=42441503";"Номер: 1";"Год: 2020";"Дата размещения:02.03.2020";"Вопросы языкознания"
"782";"
 № 2";"contents.asp?id=43008493";"Номер: 2";"Год: 2020";"Дата размещения:25.06.2020";"Вопросы языкознания"
"783";"
 № 3";"contents.asp?id=43024529";"Номер: 3";"Год: 2020";"Дата размещения:27.06.2020";"Вопросы языкознания"
"784";"
 № 4";"contents.asp?id=43582557";"Номер: 4";"Год: 2020";"Дата размещения:06.08.2020";"Вопросы языкознания"
"785";"
 № 5";"contents.asp?id=44004891";"Номер: 5";"Год: 2020";"Дата размещения:05.10.2020";"Вопросы языкознания"
"786";"
 № 6";"contents.asp?id=44278049";"Номер: 6";"Год: 2020";"Дата размещения:01.12.2020";"Вопросы языкознания"
"787";"
 № 1";"contents.asp?id=67882117";"Номер: 1";"Год: 2024";"Дата размещения:25.06.2024";"Вулканология и сейсмология"
"788";"
 № 2";"contents.asp?id=69024411";"Номер: 2";"Год: 2024";"Дата размещения:03.09.2024";"Вулканология и сейсмология"
"789";"
 № 3";"contents.asp?id=74511081";"Номер: 3";"Год: 2024";"Дата размещения:11.11.2024";"Вулканология и сейсмология"
"790";"
 № 2";"contents.asp?id=50502057";"Номер: 2";"Год: 2023";"Дата размещения:13.04.2023";"Вулканология и сейсмология"
"791";"
 № 4";"contents.asp?id=54095843";"Номер: 4";"Год: 2023";"Дата размещения:05.07.2023";"Вулканология и сейсмология"
"792";"
 № 5";"contents.asp?id=54348406";"Номер: 5";"Год: 2023";"Дата размещения:30.08.2023";"Вулканология и сейсмология"
"793";"
 № 6";"contents.asp?id=54804607";"Номер: 6";"Год: 2023";"Дата размещения:14.11.2023";"Вулканология и сейсмология"
"794";"
 Т. 17  № 1";"contents.asp?id=50404702";"Номер: 1";"Год: 2023";"Дата размещения:25.03.2023";"Вулканология и сейсмология"
"795";"
 Т. 17  № 3";"contents.asp?id=53986091";"Номер: 3";"Год: 2023";"Дата размещения:20.06.2023";"Вулканология и сейсмология"
"796";"
 № 1";"contents.asp?id=47423726";"Номер: 1";"Год: 2022";"Дата размещения:29.12.2021";"Вулканология и сейсмология"
"797";"
 № 2";"contents.asp?id=48340493";"Номер: 2";"Год: 2022";"Дата размещения:29.04.2022";"Вулканология и сейсмология"
"798";"
 № 3";"contents.asp?id=48457719";"Номер: 3";"Год: 2022";"Дата размещения:18.05.2022";"Вулканология и сейсмология"
"799";"
 № 4";"contents.asp?id=48767060";"Номер: 4";"Год: 2022";"Дата размещения:05.07.2022";"Вулканология и сейсмология"
"800";"
 № 5";"contents.asp?id=49420315";"Номер: 5";"Год: 2022";"Дата размещения:19.09.2022";"Вулканология и сейсмология"
"801";"
 № 6";"contents.asp?id=49604076";"Номер: 6";"Год: 2022";"Дата размещения:01.11.2022";"Вулканология и сейсмология"
"802";"
 № 1";"contents.asp?id=44573733";"Номер: 1";"Год: 2021";"Дата размещения:26.01.2021";"Вулканология и сейсмология"
"803";"
 № 2";"contents.asp?id=44848372";"Номер: 2";"Год: 2021";"Дата размещения:20.03.2021";"Вулканология и сейсмология"
"804";"
 № 3";"contents.asp?id=45683679";"Номер: 3";"Год: 2021";"Дата размещения:11.05.2021";"Вулканология и сейсмология"
"805";"
 № 4";"contents.asp?id=46353520";"Номер: 4";"Год: 2021";"Дата размещения:28.07.2021";"Вулканология и сейсмология"
"806";"
 № 5";"contents.asp?id=46506594";"Номер: 5";"Год: 2021";"Дата размещения:07.09.2021";"Вулканология и сейсмология"
"807";"
 № 6";"contents.asp?id=47147897";"Номер: 6";"Год: 2021";"Дата размещения:09.11.2021";"Вулканология и сейсмология"
"808";"
 № 1";"contents.asp?id=42256642";"Номер: 1";"Год: 2020";"Дата размещения:05.02.2020";"Вулканология и сейсмология"
"809";"
 № 2";"contents.asp?id=42569373";"Номер: 2";"Год: 2020";"Дата размещения:24.03.2020";"Вулканология и сейсмология"
"810";"
 № 3";"contents.asp?id=42773516";"Номер: 3";"Год: 2020";"Дата размещения:06.05.2020";"Вулканология и сейсмология"
"811";"
 № 4";"contents.asp?id=43159980";"Номер: 4";"Год: 2020";"Дата размещения:27.07.2020";"Вулканология и сейсмология"
"812";"
 № 5";"contents.asp?id=43928107";"Номер: 5";"Год: 2020";"Дата размещения:16.09.2020";"Вулканология и сейсмология"
"813";"
 № 6";"contents.asp?id=44220620";"Номер: 6";"Год: 2020";"Дата размещения:19.11.2020";"Вулканология и сейсмология"
"814";"
 Т. 66  № 1";"contents.asp?id=72044401";"Номер: 1";"Год: 2024";"Дата размещения:08.10.2024";"Высокомолекулярные соединения. Серия А"
"815";"
 Т. 66  № 2";"contents.asp?id=72125714";"Номер: 2";"Год: 2024";"Дата размещения:08.10.2024";"Высокомолекулярные соединения. Серия А"
"816";"
 Т. 65  № 1";"contents.asp?id=53770033";"Номер: 1";"Год: 2023";"Дата размещения:24.05.2023";"Высокомолекулярные соединения. Серия А"
"817";"
 Т. 65  № 2";"contents.asp?id=54045316";"Номер: 2";"Год: 2023";"Дата размещения:27.06.2023";"Высокомолекулярные соединения. Серия А"
"818";"
 Т. 65  № 3";"contents.asp?id=54293295";"Номер: 3";"Год: 2023";"Дата размещения:16.08.2023";"Высокомолекулярные соединения. Серия А"
"819";"
 Т. 65  № 4";"contents.asp?id=54525612";"Номер: 4";"Год: 2023";"Дата размещения:27.09.2023";"Высокомолекулярные соединения. Серия А"
"820";"
 Т. 65  № 5";"contents.asp?id=56712066";"Номер: 5";"Год: 2023";"Дата размещения:28.12.2023";"Высокомолекулярные соединения. Серия А"
"821";"
 Т. 64  № 1";"contents.asp?id=47696696";"Номер: 1";"Год: 2022";"Дата размещения:26.01.2022";"Высокомолекулярные соединения. Серия А"
"822";"
 Т. 64  № 2";"contents.asp?id=48076237";"Номер: 2";"Год: 2022";"Дата размещения:15.03.2022";"Высокомолекулярные соединения. Серия А"
"823";"
 Т. 64  № 3";"contents.asp?id=48622062";"Номер: 3";"Год: 2022";"Дата размещения:14.06.2022";"Высокомолекулярные соединения. Серия А"
"824";"
 Т. 64  № 4";"contents.asp?id=49273481";"Номер: 4";"Год: 2022";"Дата размещения:10.08.2022";"Высокомолекулярные соединения. Серия А"
