"";"link";"url";"num";"year";"...5";"L1"
"1394";"
 Т. 497  № 2";"contents.asp?id=45067855";"2";"2021";"07.04.2021";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1395";"
 Т. 498  № 1";"contents.asp?id=45644909";"1";"2021";"29.04.2021";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1396";"
 Т. 498  № 2";"contents.asp?id=46172139";"2";"2021";"22.06.2021";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1397";"
 Т. 499  № 1";"contents.asp?id=46198919";"1";"2021";"28.06.2021";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1398";"
 Т. 499  № 2";"contents.asp?id=46351481";"2";"2021";"28.07.2021";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1399";"
 Т. 500  № 1";"contents.asp?id=46428145";"1";"2021";"18.08.2021";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1400";"
 Т. 500  № 2";"contents.asp?id=46589590";"2";"2021";"28.09.2021";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1401";"
 Т. 501  № 1";"contents.asp?id=47147544";"1";"2021";"09.11.2021";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1402";"
 Т. 501  № 2";"contents.asp?id=47249544";"2";"2021";"30.11.2021";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1403";"
 Т. 490  № 1";"contents.asp?id=42578997";"1";"2020";"25.03.2020";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1404";"
 Т. 490  № 2";"contents.asp?id=42579010";"2";"2020";"25.03.2020";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1405";"
 Т. 491  № 1";"contents.asp?id=42687805";"1";"2020";"17.04.2020";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1406";"
 Т. 491  № 2";"contents.asp?id=42773891";"2";"2020";"06.05.2020";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1407";"
 Т. 492  № 1";"contents.asp?id=42860468";"1";"2020";"25.05.2020";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1408";"
 Т. 492  № 2";"contents.asp?id=42964233";"2";"2020";"16.06.2020";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1409";"
 Т. 493  № 1";"contents.asp?id=43160399";"1";"2020";"27.07.2020";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1410";"
 Т. 493  № 2";"contents.asp?id=43832636";"2";"2020";"27.08.2020";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1411";"
 Т. 494  № 1";"contents.asp?id=43928208";"1";"2020";"16.09.2020";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1412";"
 Т. 494  № 2";"contents.asp?id=44096043";"2";"2020";"26.10.2020";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1413";"
 Т. 495  № 1";"contents.asp?id=44367174";"1";"2020";"18.12.2020";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1414";"
 Т. 495  № 2";"contents.asp?id=44367055";"2";"2020";"18.12.2020";"Журнал ""Доклады Российской академии наук. Науки о Земле"""
"1415";"
 Т. 514  № 1";"contents.asp?id=68489726";"1";"2024";"26.07.2024";"Доклады Российской академии наук. Физика, технические науки"
"1416";"
 Т. 515  № 1";"contents.asp?id=71256242";"1";"2024";"02.10.2024";"Доклады Российской академии наук. Физика, технические науки"
"1417";"
 Т. 516  № 1";"contents.asp?id=75082140";"1";"2024";"28.11.2024";"Доклады Российской академии наук. Физика, технические науки"
"1418";"
 Т. 508  № 1";"contents.asp?id=50436166";"1";"2023";"31.03.2023";"Доклады Российской академии наук. Физика, технические науки"
"1419";"
 Т. 509  № 1";"contents.asp?id=53214520";"1";"2023";"11.05.2023";"Доклады Российской академии наук. Физика, технические науки"
"1420";"
 Т. 510  № 1";"contents.asp?id=53986679";"1";"2023";"20.06.2023";"Доклады Российской академии наук. Физика, технические науки"
"1421";"
 Т. 511  № 1";"contents.asp?id=54378840";"1";"2023";"06.09.2023";"Доклады Российской академии наук. Физика, технические науки"
"1422";"
 Т. 512  № 1";"contents.asp?id=54804975";"1";"2023";"14.11.2023";"Доклады Российской академии наук. Физика, технические науки"
"1423";"
 Т. 513  № 1";"contents.asp?id=56712468";"1";"2023";"28.12.2023";"Доклады Российской академии наук. Физика, технические науки"
"1424";"
 Т. 502  № 1";"contents.asp?id=48050904";"1";"2022";"09.03.2022";"Доклады Российской академии наук. Физика, технические науки"
"1425";"
 Т. 503  № 1";"contents.asp?id=48457825";"1";"2022";"18.05.2022";"Доклады Российской академии наук. Физика, технические науки"
"1426";"
 Т. 504  № 1";"contents.asp?id=48506179";"1";"2022";"26.05.2022";"Доклады Российской академии наук. Физика, технические науки"
"1427";"
 Т. 505  № 1";"contents.asp?id=49421277";"1";"2022";"19.09.2022";"Доклады Российской академии наук. Физика, технические науки"
"1428";"
 Т. 506  № 1";"contents.asp?id=49487793";"1";"2022";"04.10.2022";"Доклады Российской академии наук. Физика, технические науки"
"1429";"
 Т. 506  № 2";"contents.asp?id=49745225";"2";"2022";"16.11.2022";"Доклады Российской академии наук. Физика, технические науки"
"1430";"
 Т. 507  № 1";"contents.asp?id=49856220";"1";"2022";"06.12.2022";"Доклады Российской академии наук. Физика, технические науки"
"1431";"
 Т. 496  № 1";"contents.asp?id=44769230";"1";"2021";"02.03.2021";"Доклады Российской академии наук. Физика, технические науки"
"1432";"
 Т. 497  № 1";"contents.asp?id=45633816";"1";"2021";"27.04.2021";"Доклады Российской академии наук. Физика, технические науки"
"1433";"
 Т. 498  № 1";"contents.asp?id=46120630";"1";"2021";"11.06.2021";"Доклады Российской академии наук. Физика, технические науки"
"1434";"
 Т. 499  № 1";"contents.asp?id=46464688";"1";"2021";"30.08.2021";"Доклады Российской академии наук. Физика, технические науки"
"1435";"
 Т. 500  № 1";"contents.asp?id=47188620";"1";"2021";"17.11.2021";"Доклады Российской академии наук. Физика, технические науки"
"1436";"
 Т. 501  № 1";"contents.asp?id=47371390";"1";"2021";"21.12.2021";"Доклады Российской академии наук. Физика, технические науки"
"1437";"
 Т. 490  № 1";"contents.asp?id=42579026";"1";"2020";"25.03.2020";"Доклады Российской академии наук. Физика, технические науки"
"1438";"
 Т. 491  № 1";"contents.asp?id=42860501";"1";"2020";"25.05.2020";"Доклады Российской академии наук. Физика, технические науки"
"1439";"
 Т. 492  № 1";"contents.asp?id=43795303";"1";"2020";"17.08.2020";"Доклады Российской академии наук. Физика, технические науки"
"1440";"
 Т. 493  № 1";"contents.asp?id=43795315";"1";"2020";"17.08.2020";"Доклады Российской академии наук. Физика, технические науки"
"1441";"
 Т. 494  № 1";"contents.asp?id=44007998";"1";"2020";"05.10.2020";"Доклады Российской академии наук. Физика, технические науки"
"1442";"
 Т. 495  № 1";"contents.asp?id=44344530";"1";"2020";"14.12.2020";"Доклады Российской академии наук. Физика, технические науки"
"1443";"
 Т. 514  № 1";"contents.asp?id=67864028";"1";"2024";"22.06.2024";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1444";"
 Т. 515  № 1";"contents.asp?id=67987174";"1";"2024";"12.07.2024";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1445";"
 Т. 516  № 1";"contents.asp?id=73535446";"1";"2024";"24.10.2024";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1446";"
 Т. 508  № 1";"contents.asp?id=50436179";"1";"2023";"31.03.2023";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1447";"
 Т. 509  № 1";"contents.asp?id=53986693";"1";"2023";"20.06.2023";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1448";"
 Т. 510  № 1";"contents.asp?id=54045346";"1";"2023";"27.06.2023";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1449";"
 Т. 511  № 1";"contents.asp?id=54403876";"1";"2023";"13.09.2023";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1450";"
 Т. 512  № 1";"contents.asp?id=55866555";"1";"2023";"19.12.2023";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1451";"
 Т. 513  № 1";"contents.asp?id=59740938";"1";"2023";"24.01.2024";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1452";"
 Т. 502  № 1";"contents.asp?id=48104059";"1";"2022";"22.03.2022";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1453";"
 Т. 503  № 1";"contents.asp?id=48649019";"1";"2022";"17.06.2022";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1454";"
 Т. 504  № 1";"contents.asp?id=49455094";"1";"2022";"26.09.2022";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1455";"
 Т. 505  № 1";"contents.asp?id=49937930";"1";"2022";"19.12.2022";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1456";"
 Т. 506  № 1";"contents.asp?id=49991258";"1";"2022";"28.12.2022";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1457";"
 Т. 507  № 1";"contents.asp?id=49991268";"1";"2022";"28.12.2022";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1458";"
 Т. 496  № 1";"contents.asp?id=44769204";"1";"2021";"02.03.2021";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1459";"
 Т. 497  № 1";"contents.asp?id=45633873";"1";"2021";"27.04.2021";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1460";"
 Т. 498  № 1";"contents.asp?id=46466513";"1";"2021";"30.08.2021";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1461";"
 Т. 499  № 1";"contents.asp?id=46958832";"1";"2021";"28.10.2021";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1462";"
 Т. 500  № 1";"contents.asp?id=47326688";"1";"2021";"14.12.2021";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1463";"
 Т. 501  № 1";"contents.asp?id=47494687";"1";"2021";"13.01.2022";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1464";"
 Т. 490  № 1";"contents.asp?id=42585383";"1";"2020";"26.03.2020";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1465";"
 Т. 491  № 1";"contents.asp?id=42890588";"1";"2020";"01.06.2020";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1466";"
 Т. 492-493  № 1";"contents.asp?id=43947190";"1";"2020";"21.09.2020";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1467";"
 Т. 494  № 1";"contents.asp?id=44095377";"1";"2020";"26.10.2020";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1468";"
 Т. 495  № 1";"contents.asp?id=44367067";"1";"2020";"18.12.2020";"Журнал ""Доклады Российской академии наук. Химия, науки о материалах"""
"1469";"
 Т. 79  № 1";"contents.asp?id=67862646";"1";"2024";"22.06.2024";"Журнал аналитической химии"
"1470";"
 Т. 79  № 2";"contents.asp?id=67993341";"2";"2024";"12.07.2024";"Журнал аналитической химии"
"1471";"
 Т. 79  № 3";"contents.asp?id=68524422";"3";"2024";"03.08.2024";"Журнал аналитической химии"
"1472";"
 Т. 79  № 4";"contents.asp?id=69633398";"4";"2024";"25.09.2024";"Журнал аналитической химии"
"1473";"
 Т. 79  № 5";"contents.asp?id=75082154";"5";"2024";"28.11.2024";"Журнал аналитической химии"
"1474";"
 Т. 79  № 7";"contents.asp?id=75203520";"7";"2024";"16.12.2024";"Журнал аналитической химии"
"1475";"
 Т. 78  № 1";"contents.asp?id=50404504";"1";"2023";"24.03.2023";"Журнал аналитической химии"
"1476";"
 Т. 78  № 2";"contents.asp?id=50404517";"2";"2023";"24.03.2023";"Журнал аналитической химии"
"1477";"
 Т. 78  № 3";"contents.asp?id=50404527";"3";"2023";"24.03.2023";"Журнал аналитической химии"
"1478";"
 Т. 78  № 4";"contents.asp?id=50501965";"4";"2023";"13.04.2023";"Журнал аналитической химии"
"1479";"
 Т. 78  № 5";"contents.asp?id=50501974";"5";"2023";"13.04.2023";"Журнал аналитической химии"
"1480";"
 Т. 78  № 6";"contents.asp?id=50767133";"6";"2023";"26.04.2023";"Журнал аналитической химии"
"1481";"
 Т. 78  № 7";"contents.asp?id=53738172";"7";"2023";"17.05.2023";"Журнал аналитической химии"
"1482";"
 Т. 78  № 8";"contents.asp?id=53986007";"8";"2023";"20.06.2023";"Журнал аналитической химии"
"1483";"
 Т. 78  № 9";"contents.asp?id=54238099";"9";"2023";"01.08.2023";"Журнал аналитической химии"
"1484";"
 Т. 78  № 10";"contents.asp?id=54403754";"10";"2023";"13.09.2023";"Журнал аналитической химии"
"1485";"
 Т. 78  № 11";"contents.asp?id=54525491";"11";"2023";"27.09.2023";"Журнал аналитической химии"
"1486";"
 Т. 78  № 12";"contents.asp?id=54717992";"12";"2023";"25.10.2023";"Журнал аналитической химии"
"1487";"
 Т. 77  № 1";"contents.asp?id=47695760";"1";"2022";"26.01.2022";"Журнал аналитической химии"
"1488";"
 Т. 77  № 2";"contents.asp?id=47695849";"2";"2022";"26.01.2022";"Журнал аналитической химии"
"1489";"
 Т. 77  № 3";"contents.asp?id=47695879";"3";"2022";"26.01.2022";"Журнал аналитической химии"
"1490";"
 Т. 77  № 4";"contents.asp?id=48050583";"4";"2022";"09.03.2022";"Журнал аналитической химии"
"1491";"
 Т. 77  № 5";"contents.asp?id=48340442";"5";"2022";"29.04.2022";"Журнал аналитической химии"
"1492";"
 Т. 77  № 6";"contents.asp?id=48340429";"6";"2022";"29.04.2022";"Журнал аналитической химии"
"1493";"
 Т. 77  № 7";"contents.asp?id=48659018";"7";"2022";"20.06.2022";"Журнал аналитической химии"
"1494";"
 Т. 77  № 8";"contents.asp?id=48659198";"8";"2022";"20.06.2022";"Журнал аналитической химии"
"1495";"
 Т. 77  № 9";"contents.asp?id=48867884";"9";"2022";"08.07.2022";"Журнал аналитической химии"
"1496";"
 Т. 77  № 10";"contents.asp?id=49273490";"10";"2022";"10.08.2022";"Журнал аналитической химии"
"1497";"
 Т. 77  № 11";"contents.asp?id=49420282";"11";"2022";"19.09.2022";"Журнал аналитической химии"
"1498";"
 Т. 77  № 12";"contents.asp?id=49515152";"12";"2022";"11.10.2022";"Журнал аналитической химии"
"1499";"
 Т. 76  № 1";"contents.asp?id=44573925";"1";"2021";"26.01.2021";"Журнал аналитической химии"
"1500";"
 Т. 76  № 2";"contents.asp?id=44573666";"2";"2021";"26.01.2021";"Журнал аналитической химии"
"1501";"
 Т. 76  № 3";"contents.asp?id=44652095";"3";"2021";"08.02.2021";"Журнал аналитической химии"
"1502";"
 Т. 76  № 4";"contents.asp?id=44732391";"4";"2021";"24.02.2021";"Журнал аналитической химии"
"1503";"
 Т. 76  № 5";"contents.asp?id=45545522";"5";"2021";"14.04.2021";"Журнал аналитической химии"
"1504";"
 Т. 76  № 6";"contents.asp?id=45632997";"6";"2021";"27.04.2021";"Журнал аналитической химии"
"1505";"
 Т. 76  № 7";"contents.asp?id=45692898";"7";"2021";"12.05.2021";"Журнал аналитической химии"
"1506";"
 Т. 76  № 8";"contents.asp?id=46172018";"8";"2021";"22.06.2021";"Журнал аналитической химии"
"1507";"
 Т. 76  № 9";"contents.asp?id=46351101";"9";"2021";"28.07.2021";"Журнал аналитической химии"
"1508";"
 Т. 76  № 10";"contents.asp?id=46389803";"10";"2021";"07.08.2021";"Журнал аналитической химии"
"1509";"
 Т. 76  № 11";"contents.asp?id=46558847";"11";"2021";"21.09.2021";"Журнал аналитической химии"
"1510";"
 Т. 76  № 12";"contents.asp?id=47147146";"12";"2021";"09.11.2021";"Журнал аналитической химии"
"1511";"
 Т. 75  № 1";"contents.asp?id=42240171";"1";"2020";"05.02.2020";"Журнал аналитической химии"
"1512";"
 Т. 75  № 2";"contents.asp?id=42240784";"2";"2020";"05.02.2020";"Журнал аналитической химии"
"1513";"
 Т. 75  № 3";"contents.asp?id=42241177";"3";"2020";"05.02.2020";"Журнал аналитической химии"
"1514";"
 Т. 75  № 4";"contents.asp?id=42445869";"4";"2020";"03.03.2020";"Журнал аналитической химии"
"1515";"
 Т. 75  № 5";"contents.asp?id=42569302";"5";"2020";"24.03.2020";"Журнал аналитической химии"
"1516";"
 Т. 75  № 6";"contents.asp?id=42635827";"6";"2020";"07.04.2020";"Журнал аналитической химии"
"1517";"
 Т. 75  № 7";"contents.asp?id=42862725";"7";"2020";"25.05.2020";"Журнал аналитической химии"
"1518";"
 Т. 75  № 8";"contents.asp?id=42890301";"8";"2020";"01.06.2020";"Журнал аналитической химии"
"1519";"
 Т. 75  № 9";"contents.asp?id=43165489";"9";"2020";"28.07.2020";"Журнал аналитической химии"
"1520";"
 Т. 75  № 10";"contents.asp?id=43824031";"10";"2020";"25.08.2020";"Журнал аналитической химии"
"1521";"
 Т. 75  № 11";"contents.asp?id=43878568";"11";"2020";"09.09.2020";"Журнал аналитической химии"
"1522";"
 Т. 75  № 12";"contents.asp?id=44038508";"12";"2020";"12.10.2020";"Журнал аналитической химии"
"1523";"
 Т. 74  № 1";"contents.asp?id=67914382";"1";"2024";"02.07.2024";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1524";"
 Т. 74  № 2";"contents.asp?id=68566893";"2";"2024";"12.08.2024";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1525";"
 Т. 74  № 3";"contents.asp?id=72743277";"3";"2024";"15.10.2024";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1526";"
 Т. 74  № 4";"contents.asp?id=73884566";"4";"2024";"28.10.2024";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1527";"
 Т. 74  № 5";"contents.asp?id=74518212";"5";"2024";"12.11.2024";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1528";"
 Т. 73  № 1";"contents.asp?id=50404663";"1";"2023";"25.03.2023";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1529";"
 Т. 73  № 2";"contents.asp?id=50435769";"2";"2023";"31.03.2023";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1530";"
 Т. 73  № 3";"contents.asp?id=53738586";"3";"2023";"17.05.2023";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1531";"
 Т. 73  № 4";"contents.asp?id=54238126";"4";"2023";"01.08.2023";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1532";"
 Т. 73  № 5";"contents.asp?id=54378738";"5";"2023";"06.09.2023";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1533";"
 Т. 73  № 6";"contents.asp?id=54804565";"6";"2023";"14.11.2023";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1534";"
 Т. 72  № 1";"contents.asp?id=47695971";"1";"2022";"26.01.2022";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1535";"
 Т. 72  № 2";"contents.asp?id=48076157";"2";"2022";"15.03.2022";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1536";"
 Т. 72  № 3";"contents.asp?id=48412522";"3";"2022";"11.05.2022";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1537";"
 Т. 72  № 4";"contents.asp?id=48767033";"4";"2022";"05.07.2022";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1538";"
 Т. 72  № 5";"contents.asp?id=49420842";"5";"2022";"19.09.2022";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1539";"
 Т. 72  № 6";"contents.asp?id=49718936";"6";"2022";"10.11.2022";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1540";"
 Т. 71  № 1";"contents.asp?id=44494844";"1";"2021";"12.01.2021";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1541";"
 Т. 71  № 2";"contents.asp?id=44829374";"2";"2021";"16.03.2021";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1542";"
 Т. 71  № 3";"contents.asp?id=45692941";"3";"2021";"12.05.2021";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1543";"
 Т. 71  № 4";"contents.asp?id=46322152";"4";"2021";"20.07.2021";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1544";"
 Т. 71  № 5";"contents.asp?id=46506564";"5";"2021";"07.09.2021";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1545";"
 Т. 71  № 6";"contents.asp?id=47188460";"6";"2021";"17.11.2021";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1546";"
 Т. 70  № 1";"contents.asp?id=42242516";"1";"2020";"05.02.2020";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1547";"
 Т. 70  № 2";"contents.asp?id=42569360";"2";"2020";"24.03.2020";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1548";"
 Т. 70  № 3";"contents.asp?id=42808123";"3";"2020";"14.05.2020";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1549";"
 Т. 70  № 4";"contents.asp?id=43089230";"4";"2020";"10.07.2020";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1550";"
 Т. 70  № 5";"contents.asp?id=43928065";"5";"2020";"16.09.2020";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1551";"
 Т. 70  № 6";"contents.asp?id=44154334";"6";"2020";"06.11.2020";"Журнал высшей нервной деятельности имени И.П. Павлова"
"1552";"
 Т. 64  № 1";"contents.asp?id=68534070";"1";"2024";"06.08.2024";"Журнал вычислительной математики и математической физики"
"1553";"
 Т. 64  № 2";"contents.asp?id=71544509";"2";"2024";"04.10.2024";"Журнал вычислительной математики и математической физики"
"1554";"
 Т. 64  № 3";"contents.asp?id=73160208";"3";"2024";"22.10.2024";"Журнал вычислительной математики и математической физики"
"1555";"
 Т. 64  № 4";"contents.asp?id=74490699";"4";"2024";"06.11.2024";"Журнал вычислительной математики и математической физики"
"1556";"
 Т. 64  № 5";"contents.asp?id=74527333";"5";"2024";"14.11.2024";"Журнал вычислительной математики и математической физики"
"1557";"
 Т. 64  № 6";"contents.asp?id=75171309";"6";"2024";"10.12.2024";"Журнал вычислительной математики и математической физики"
"1558";"
 Т. 64  № 7";"contents.asp?id=75206864";"7";"2024";"17.12.2024";"Журнал вычислительной математики и математической физики"
"1559";"
 Т. 64  № 8";"contents.asp?id=75224097";"8";"2024";"19.12.2024";"Журнал вычислительной математики и математической физики"
"1560";"
 Т. 64  № 9";"contents.asp?id=79083457";"9";"2024";"10.01.2025";"Журнал вычислительной математики и математической физики"
"1561";"
 Т. 64  № 10";"contents.asp?id=78990800";"10";"2024";"09.01.2025";"Журнал вычислительной математики и математической физики"
"1562";"
 Т. 63  № 1";"contents.asp?id=50398519";"1";"2023";"24.03.2023";"Журнал вычислительной математики и математической физики"
"1563";"
 Т. 63  № 2";"contents.asp?id=50435446";"2";"2023";"30.03.2023";"Журнал вычислительной математики и математической физики"
"1564";"
 Т. 63  № 3";"contents.asp?id=50435756";"3";"2023";"31.03.2023";"Журнал вычислительной математики и математической физики"
"1565";"
 Т. 63  № 4";"contents.asp?id=50502001";"4";"2023";"13.04.2023";"Журнал вычислительной математики и математической физики"
"1566";"
 Т. 63  № 5";"contents.asp?id=53738561";"5";"2023";"17.05.2023";"Журнал вычислительной математики и математической физики"
"1567";"
 Т. 63  № 6";"contents.asp?id=53836683";"6";"2023";"31.05.2023";"Журнал вычислительной математики и математической физики"
"1568";"
 Т. 63  № 7";"contents.asp?id=54238528";"7";"2023";"01.08.2023";"Журнал вычислительной математики и математической физики"
"1569";"
 Т. 63  № 8";"contents.asp?id=54270652";"8";"2023";"09.08.2023";"Журнал вычислительной математики и математической физики"
"1570";"
 Т. 63  № 9";"contents.asp?id=54313677";"9";"2023";"22.08.2023";"Журнал вычислительной математики и математической физики"
"1571";"
 Т. 63  № 10";"contents.asp?id=54648752";"10";"2023";"11.10.2023";"Журнал вычислительной математики и математической физики"
"1572";"
 Т. 63  № 11";"contents.asp?id=54720581";"11";"2023";"25.10.2023";"Журнал вычислительной математики и математической физики"
"1573";"
 Т. 63  № 12";"contents.asp?id=54912950";"12";"2023";"29.11.2023";"Журнал вычислительной математики и математической физики"
"1574";"
 Т. 62  № 1";"contents.asp?id=47423712";"1";"2022";"29.12.2021";"Журнал вычислительной математики и математической физики"
"1575";"
 Т. 62  № 2";"contents.asp?id=47563733";"2";"2022";"18.01.2022";"Журнал вычислительной математики и математической физики"
"1576";"
 Т. 62  № 3";"contents.asp?id=47988108";"3";"2022";"22.02.2022";"Журнал вычислительной математики и математической физики"
"1577";"
 Т. 62  № 4";"contents.asp?id=48340791";"4";"2022";"30.04.2022";"Журнал вычислительной математики и математической физики"
"1578";"
 Т. 62  № 5";"contents.asp?id=48506046";"5";"2022";"26.05.2022";"Журнал вычислительной математики и математической физики"
"1579";"
 Т. 62  № 6";"contents.asp?id=48506068";"6";"2022";"26.05.2022";"Журнал вычислительной математики и математической физики"
"1580";"
 Т. 62  № 7";"contents.asp?id=48621816";"7";"2022";"14.06.2022";"Журнал вычислительной математики и математической физики"
"1581";"
 Т. 62  № 8";"contents.asp?id=49273500";"8";"2022";"10.08.2022";"Журнал вычислительной математики и математической физики"
"1582";"
 Т. 62  № 9";"contents.asp?id=49273351";"9";"2022";"10.08.2022";"Журнал вычислительной математики и математической физики"
"1583";"
 Т. 62  № 10";"contents.asp?id=49344321";"10";"2022";"30.08.2022";"Журнал вычислительной математики и математической физики"
"1584";"
 Т. 62  № 11";"contents.asp?id=49455073";"11";"2022";"26.09.2022";"Журнал вычислительной математики и математической физики"
"1585";"
 Т. 62  № 12";"contents.asp?id=49581394";"12";"2022";"26.10.2022";"Журнал вычислительной математики и математической физики"
"1586";"
 Т. 61  № 1";"contents.asp?id=44428901";"1";"2021";"28.12.2020";"Журнал вычислительной математики и математической физики"
"1587";"
 Т. 61  № 2";"contents.asp?id=44732403";"2";"2021";"24.02.2021";"Журнал вычислительной математики и математической физики"
"1588";"
 Т. 61  № 3";"contents.asp?id=44732174";"3";"2021";"24.02.2021";"Журнал вычислительной математики и математической физики"
"1589";"
 Т. 61  № 4";"contents.asp?id=45545382";"4";"2021";"14.04.2021";"Журнал вычислительной математики и математической физики"
"1590";"
 Т. 61  № 5";"contents.asp?id=45633412";"5";"2021";"27.04.2021";"Журнал вычислительной математики и математической физики"
"1591";"
 Т. 61  № 6";"contents.asp?id=45797728";"6";"2021";"31.05.2021";"Журнал вычислительной математики и математической физики"
"1592";"
 Т. 61  № 7";"contents.asp?id=46146268";"7";"2021";"17.06.2021";"Журнал вычислительной математики и математической физики"
"1593";"
 Т. 61  № 8";"contents.asp?id=46351120";"8";"2021";"28.07.2021";"Журнал вычислительной математики и математической физики"
"1594";"
 Т. 61  № 9";"contents.asp?id=46464454";"9";"2021";"30.08.2021";"Журнал вычислительной математики и математической физики"
"1595";"
 Т. 61  № 10";"contents.asp?id=46532586";"10";"2021";"14.09.2021";"Журнал вычислительной математики и математической физики"
"1596";"
 Т. 61  № 11";"contents.asp?id=46650231";"11";"2021";"12.10.2021";"Журнал вычислительной математики и математической физики"
"1597";"
 Т. 61  № 12";"contents.asp?id=46713020";"12";"2021";"26.10.2021";"Журнал вычислительной математики и математической физики"
"1598";"
 Т. 60  № 1";"contents.asp?id=41806911";"1";"2020";"24.01.2020";"Журнал вычислительной математики и математической физики"
"1599";"
 Т. 60  № 2";"contents.asp?id=42339703";"2";"2020";"11.02.2020";"Журнал вычислительной математики и математической физики"
"1600";"
 Т. 60  № 3";"contents.asp?id=42445958";"3";"2020";"03.03.2020";"Журнал вычислительной математики и математической физики"
"1601";"
 Т. 60  № 4";"contents.asp?id=42605076";"4";"2020";"30.03.2020";"Журнал вычислительной математики и математической физики"
"1602";"
 Т. 60  № 5";"contents.asp?id=42687685";"5";"2020";"17.04.2020";"Журнал вычислительной математики и математической физики"
