Source Title;Country;jif;year;Collection
JOURNAL OF ARID LAND;CHINA MAINLAND;2,483;2021;SCIE
JOURNAL OF ARTHROPLASTY;UNITED STATES OF AMERICA;3,5;2022;SCIE
JOURNAL OF ARTHROPLASTY;UNITED STATES OF AMERICA;4,435;2021;SCIE
JOURNAL OF ARTHROPOD-BORNE DISEASES;IRAN, ISLAMIC REPUBLIC OF;0,9;2022;SCIE
JOURNAL OF ARTHROPOD-BORNE DISEASES;IRAN, ISLAMIC REPUBLIC OF;1,221;2021;SCIE
JOURNAL OF ARTIFICIAL INTELLIGENCE AND SOFT COMPUTING RESEARCH;POLAND;2,8;2022;SCIE
JOURNAL OF ARTIFICIAL INTELLIGENCE AND SOFT COMPUTING RESEARCH;POLAND;2,675;2021;SCIE
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH;UNITED STATES OF AMERICA;5;2022;SCIE
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH;UNITED STATES OF AMERICA;3,635;2021;SCIE
ARCHIVES AND RECORDS-THE JOURNAL OF THE ARCHIVES AND RECORDS ASSOCIATION;ENGLAND;0,6;2022;AHCI
ARCHIVES AND RECORDS-THE JOURNAL OF THE ARCHIVES AND RECORDS ASSOCIATION;ENGLAND;;2021;AHCI
JOURNAL OF ARTIFICIAL ORGANS;JAPAN;1,3;2022;SCIE
JOURNAL OF ARTIFICIAL ORGANS;JAPAN;1,385;2021;SCIE
JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING;ENGLAND;1,3;2022;AHCI
JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING;ENGLAND;1,3;2022;SCIE
JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING;ENGLAND;0,904;2021;AHCI
JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING;ENGLAND;0,904;2021;SCIE
BMGN-THE LOW COUNTRIES HISTORICAL REVIEW;NETHERLANDS;0,4;2022;AHCI
BMGN-THE LOW COUNTRIES HISTORICAL REVIEW;NETHERLANDS;0,4;2022;SSCI
BMGN-THE LOW COUNTRIES HISTORICAL REVIEW;NETHERLANDS;0,889;2021;AHCI
BMGN-THE LOW COUNTRIES HISTORICAL REVIEW;NETHERLANDS;0,889;2021;SSCI
JOURNAL OF ASIAN CERAMIC SOCIETIES;JAPAN;2,3;2022;SCIE
JOURNAL OF ASIAN CERAMIC SOCIETIES;JAPAN;2,546;2021;SCIE
JOURNAL OF ASIAN EARTH SCIENCES;ENGLAND;3;2022;SCIE
JOURNAL OF ASIAN EARTH SCIENCES;ENGLAND;3,374;2021;SCIE
ARCHIV FUR RECHTS- UND SOZIALPHILOSOPHIE;GERMANY;0,1;2022;ESCI
ARCHIV FUR RECHTS- UND SOZIALPHILOSOPHIE;GERMANY;;2021;ESCI
JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH;CHINA MAINLAND;1,7;2022;SCIE
JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH;CHINA MAINLAND;1,61;2021;SCIE
JOURNAL OF ASIA-PACIFIC ENTOMOLOGY;SOUTH KOREA;1,5;2022;SCIE
JOURNAL OF ASIA-PACIFIC ENTOMOLOGY;SOUTH KOREA;1,586;2021;SCIE
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS;UNITED STATES OF AMERICA;3,1;2022;SCIE
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS;UNITED STATES OF AMERICA;3,357;2021;SCIE
JOURNAL OF ASTHMA;UNITED STATES OF AMERICA;1,9;2022;SCIE
JOURNAL OF ASTHMA;UNITED STATES OF AMERICA;2;2021;SCIE
ARCHIV FUR REFORMATIONSGESCHICHTE-ARCHIVE FOR REFORMATION HISTORY;GERMANY;0,3;2022;AHCI
ARCHIV FUR REFORMATIONSGESCHICHTE-ARCHIVE FOR REFORMATION HISTORY;GERMANY;;2021;AHCI
JOURNAL OF ASTHMA AND ALLERGY;NEW ZEALAND;3,2;2022;SCIE
JOURNAL OF ASTHMA AND ALLERGY;NEW ZEALAND;3,027;2021;SCIE
JOURNAL OF ASTRONOMICAL TELESCOPES INSTRUMENTS AND SYSTEMS;UNITED STATES OF AMERICA;2,3;2022;SCIE
JOURNAL OF ASTRONOMICAL TELESCOPES INSTRUMENTS AND SYSTEMS;UNITED STATES OF AMERICA;1,911;2021;SCIE
JOURNAL OF ASTROPHYSICS AND ASTRONOMY;INDIA;1,1;2022;SCIE
JOURNAL OF ASTROPHYSICS AND ASTRONOMY;INDIA;1,61;2021;SCIE
JOURNAL OF ATHEROSCLEROSIS AND THROMBOSIS;JAPAN;4,4;2022;SCIE
JOURNAL OF ATHEROSCLEROSIS AND THROMBOSIS;JAPAN;4,399;2021;SCIE
JOURNAL OF ATHLETIC TRAINING;UNITED STATES OF AMERICA;3,3;2022;SCIE
JOURNAL OF ATHLETIC TRAINING;UNITED STATES OF AMERICA;3,824;2021;SCIE
JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY;UNITED STATES OF AMERICA;2,2;2022;SCIE
JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY;UNITED STATES OF AMERICA;2,531;2021;SCIE
ARCHIVES OF REHABILITATION;GERMANY;1;2022;ESCI
ARCHIVES OF REHABILITATION;GERMANY;;2021;ESCI
JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS;ENGLAND;1,9;2022;SCIE
JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS;ENGLAND;2,119;2021;SCIE
JOURNAL OF ATMOSPHERIC CHEMISTRY;NETHERLANDS;2;2022;SCIE
JOURNAL OF ATMOSPHERIC CHEMISTRY;NETHERLANDS;3,36;2021;SCIE
JOURNAL OF ATTENTION DISORDERS;UNITED STATES OF AMERICA;3;2022;SCIE
JOURNAL OF ATTENTION DISORDERS;UNITED STATES OF AMERICA;3;2022;SSCI
JOURNAL OF ATTENTION DISORDERS;UNITED STATES OF AMERICA;3;2022;SCIE
JOURNAL OF ATTENTION DISORDERS;UNITED STATES OF AMERICA;3;2022;SSCI
JOURNAL OF ATTENTION DISORDERS;UNITED STATES OF AMERICA;3,196;2021;SCIE
JOURNAL OF ATTENTION DISORDERS;UNITED STATES OF AMERICA;3,196;2021;SSCI
JOURNAL OF ATTENTION DISORDERS;UNITED STATES OF AMERICA;3,196;2021;SCIE
JOURNAL OF ATTENTION DISORDERS;UNITED STATES OF AMERICA;3,196;2021;SSCI
JOURNAL OF AUTOIMMUNITY;ENGLAND;12,8;2022;SCIE
JOURNAL OF AUTOIMMUNITY;ENGLAND;14,511;2021;SCIE
JOURNAL OF AUTOMATED REASONING;NETHERLANDS;1,1;2022;SCIE
JOURNAL OF AUTOMATED REASONING;NETHERLANDS;1,15;2021;SCIE
JOURNAL OF AVIAN BIOLOGY;DENMARK;1,7;2022;SCIE
JOURNAL OF AVIAN BIOLOGY;DENMARK;2,248;2021;SCIE
ARCHIVAL SCIENCE;NETHERLANDS;1,1;2022;ESCI
ARCHIVAL SCIENCE;NETHERLANDS;;2021;ESCI
JOURNAL OF AVIAN MEDICINE AND SURGERY;UNITED STATES OF AMERICA;0,3;2022;SCIE
JOURNAL OF AVIAN MEDICINE AND SURGERY;UNITED STATES OF AMERICA;0,641;2021;SCIE
JOURNAL OF BACK AND MUSCULOSKELETAL REHABILITATION;NETHERLANDS;1,6;2022;SCIE
JOURNAL OF BACK AND MUSCULOSKELETAL REHABILITATION;NETHERLANDS;1,456;2021;SCIE
JOURNAL OF BACTERIOLOGY;UNITED STATES OF AMERICA;3,2;2022;SCIE
JOURNAL OF BACTERIOLOGY;UNITED STATES OF AMERICA;3,476;2021;SCIE
JOURNAL OF BASIC MICROBIOLOGY;GERMANY;3,1;2022;SCIE
JOURNAL OF BASIC MICROBIOLOGY;GERMANY;2,65;2021;SCIE
JOURNAL OF BEHAVIORAL ADDICTIONS;HUNGARY;7,8;2022;SCIE
JOURNAL OF BEHAVIORAL ADDICTIONS;HUNGARY;7,8;2022;SSCI
JOURNAL OF BEHAVIORAL ADDICTIONS;HUNGARY;7,8;2022;SCIE
JOURNAL OF BEHAVIORAL ADDICTIONS;HUNGARY;7,8;2022;SSCI
JOURNAL OF BEHAVIORAL ADDICTIONS;HUNGARY;7,772;2021;SCIE
JOURNAL OF BEHAVIORAL ADDICTIONS;HUNGARY;7,772;2021;SSCI
JOURNAL OF BEHAVIORAL ADDICTIONS;HUNGARY;7,772;2021;SCIE
JOURNAL OF BEHAVIORAL ADDICTIONS;HUNGARY;7,772;2021;SSCI
JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH;UNITED STATES OF AMERICA;1,9;2022;SCIE
JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH;UNITED STATES OF AMERICA;1,9;2022;SSCI
JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH;UNITED STATES OF AMERICA;1,9;2022;SCIE
JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH;UNITED STATES OF AMERICA;1,9;2022;SSCI
JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH;UNITED STATES OF AMERICA;1,475;2021;SCIE
JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH;UNITED STATES OF AMERICA;1,475;2021;SSCI
JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH;UNITED STATES OF AMERICA;1,475;2021;SCIE
JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH;UNITED STATES OF AMERICA;1,475;2021;SSCI
ARCHIVIO STORICO ITALIANO;ITALY;0,2;2022;AHCI
ARCHIVIO STORICO ITALIANO;ITALY;;2021;AHCI
JOURNAL OF BERRY RESEARCH;NETHERLANDS;1,7;2022;SCIE
JOURNAL OF BERRY RESEARCH;NETHERLANDS;2,156;2021;SCIE
JOURNAL OF BIG DATA;GERMANY;8,1;2022;SCIE
JOURNAL OF BIG DATA;GERMANY;10,835;2021;SCIE
JOURNAL OF BIOACTIVE AND COMPATIBLE POLYMERS;ENGLAND;1,7;2022;SCIE
JOURNAL OF BIOACTIVE AND COMPATIBLE POLYMERS;ENGLAND;2,137;2021;SCIE
JOURNAL OF BIOBASED MATERIALS AND BIOENERGY;UNITED STATES OF AMERICA;0,5;2022;SCIE
JOURNAL OF BIOBASED MATERIALS AND BIOENERGY;UNITED STATES OF AMERICA;0,687;2021;SCIE
ARCHIV FUR DAS STUDIUM DER NEUEREN SPRACHEN UND LITERATUREN;GERMANY;0,01;2022;AHCI
ARCHIV FUR DAS STUDIUM DER NEUEREN SPRACHEN UND LITERATUREN;GERMANY;;2021;AHCI
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY;UNITED STATES OF AMERICA;3,6;2022;SCIE
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY;UNITED STATES OF AMERICA;3,568;2021;SCIE
JOURNAL OF BIOCHEMISTRY;JAPAN;2,7;2022;SCIE
JOURNAL OF BIOCHEMISTRY;JAPAN;3,241;2021;SCIE
JOURNAL OF BIOENERGETICS AND BIOMEMBRANES;UNITED STATES OF AMERICA;3;2022;SCIE
JOURNAL OF BIOENERGETICS AND BIOMEMBRANES;UNITED STATES OF AMERICA;3,853;2021;SCIE
JOURNAL OF BIOETHICAL INQUIRY;NEW ZEALAND;2,4;2022;SCIE
JOURNAL OF BIOETHICAL INQUIRY;NEW ZEALAND;2,4;2022;SSCI
JOURNAL OF BIOETHICAL INQUIRY;NEW ZEALAND;2,4;2022;SCIE
JOURNAL OF BIOETHICAL INQUIRY;NEW ZEALAND;2,4;2022;SSCI
JOURNAL OF BIOETHICAL INQUIRY;NEW ZEALAND;2,216;2021;SCIE
JOURNAL OF BIOETHICAL INQUIRY;NEW ZEALAND;2,216;2021;SSCI
JOURNAL OF BIOETHICAL INQUIRY;NEW ZEALAND;2,216;2021;SCIE
JOURNAL OF BIOETHICAL INQUIRY;NEW ZEALAND;2,216;2021;SSCI
JOURNAL OF BIOGEOGRAPHY;ENGLAND;3,9;2022;SCIE
JOURNAL OF BIOGEOGRAPHY;ENGLAND;4,81;2021;SCIE
JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY;SINGAPORE;1;2022;SCIE
JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY;SINGAPORE;1,204;2021;SCIE
JOURNAL OF BIOLOGICAL CHEMISTRY;UNITED STATES OF AMERICA;4,8;2022;SCIE
JOURNAL OF BIOLOGICAL CHEMISTRY;UNITED STATES OF AMERICA;5,485;2021;SCIE
JOURNAL OF BIOLOGICAL DYNAMICS;ENGLAND;2,8;2022;SCIE
JOURNAL OF BIOLOGICAL DYNAMICS;ENGLAND;2,726;2021;SCIE
JOURNAL OF BIOLOGICAL EDUCATION;UNITED STATES OF AMERICA;1,1;2022;SCIE
JOURNAL OF BIOLOGICAL EDUCATION;UNITED STATES OF AMERICA;1,1;2022;SSCI
JOURNAL OF BIOLOGICAL EDUCATION;UNITED STATES OF AMERICA;1,1;2022;SCIE
JOURNAL OF BIOLOGICAL EDUCATION;UNITED STATES OF AMERICA;1,1;2022;SSCI
JOURNAL OF BIOLOGICAL EDUCATION;UNITED STATES OF AMERICA;1,343;2021;SCIE
JOURNAL OF BIOLOGICAL EDUCATION;UNITED STATES OF AMERICA;1,343;2021;SSCI
JOURNAL OF BIOLOGICAL EDUCATION;UNITED STATES OF AMERICA;1,343;2021;SCIE
JOURNAL OF BIOLOGICAL EDUCATION;UNITED STATES OF AMERICA;1,343;2021;SSCI
JOURNAL OF BIOLOGICAL ENGINEERING;ENGLAND;5,6;2022;SCIE
JOURNAL OF BIOLOGICAL ENGINEERING;ENGLAND;6,248;2021;SCIE
ARCHIVES FOR TECHNICAL SCIENCES;BOSNIA AND HERZEGOVINA;0,1;2022;ESCI
ARCHIVES FOR TECHNICAL SCIENCES;BOSNIA AND HERZEGOVINA;;2021;ESCI
JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY;GERMANY;3;2022;SCIE
JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY;GERMANY;3,862;2021;SCIE
JOURNAL OF BIOLOGICAL PHYSICS;NETHERLANDS;1,8;2022;SCIE
JOURNAL OF BIOLOGICAL PHYSICS;NETHERLANDS;1,56;2021;SCIE
JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS;ITALY;3,2;2022;SCIE
JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS;ITALY;2,843;2021;SCIE
JOURNAL OF BIOLOGICAL RESEARCH-THESSALONIKI;GREECE;3,3;2022;SCIE
JOURNAL OF BIOLOGICAL RESEARCH-THESSALONIKI;GREECE;2,576;2021;SCIE
ARCHIVES OF THERMODYNAMICS;POLAND;0,9;2022;ESCI
ARCHIVES OF THERMODYNAMICS;POLAND;;2021;ESCI
JOURNAL OF BIOLOGICAL RHYTHMS;UNITED STATES OF AMERICA;3,5;2022;SCIE
JOURNAL OF BIOLOGICAL RHYTHMS;UNITED STATES OF AMERICA;3,649;2021;SCIE
JOURNAL OF BIOLOGICAL SYSTEMS;SINGAPORE;1,6;2022;SCIE
JOURNAL OF BIOLOGICAL SYSTEMS;SINGAPORE;1,909;2021;SCIE
JOURNAL OF BIOMATERIALS AND TISSUE ENGINEERING;UNITED STATES OF AMERICA;0,1;2022;SCIE
JOURNAL OF BIOMATERIALS AND TISSUE ENGINEERING;UNITED STATES OF AMERICA;0,144;2021;SCIE
JOURNAL OF BIOMATERIALS APPLICATIONS;ENGLAND;2,9;2022;SCIE
JOURNAL OF BIOMATERIALS APPLICATIONS;ENGLAND;2,712;2021;SCIE
BODY IMAGE;NETHERLANDS;5,2;2022;SSCI
BODY IMAGE;NETHERLANDS;5,58;2021;SSCI
JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION;NETHERLANDS;3,6;2022;SCIE
JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION;NETHERLANDS;3,682;2021;SCIE
JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME;UNITED STATES OF AMERICA;1,7;2022;SCIE
JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME;UNITED STATES OF AMERICA;1,899;2021;SCIE
ARCHIVES OF TRAUMA RESEARCH;IRAN, ISLAMIC REPUBLIC OF;0,4;2022;ESCI
ARCHIVES OF TRAUMA RESEARCH;IRAN, ISLAMIC REPUBLIC OF;;2021;ESCI
JOURNAL OF BIOMECHANICS;ENGLAND;2,4;2022;SCIE
JOURNAL OF BIOMECHANICS;ENGLAND;2,789;2021;SCIE
JOURNAL OF BIOMEDICAL INFORMATICS;UNITED STATES OF AMERICA;4,5;2022;SCIE
JOURNAL OF BIOMEDICAL INFORMATICS;UNITED STATES OF AMERICA;8;2021;SCIE
BODY & SOCIETY;ENGLAND;1,8;2022;SSCI
BODY & SOCIETY;ENGLAND;2,122;2021;SSCI
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A;UNITED STATES OF AMERICA;4,9;2022;SCIE
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A;UNITED STATES OF AMERICA;4,854;2021;SCIE
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS;UNITED STATES OF AMERICA;3,4;2022;SCIE
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS;UNITED STATES OF AMERICA;3,405;2021;SCIE
JOURNAL OF BIOMEDICAL NANOTECHNOLOGY;UNITED STATES OF AMERICA;2,9;2022;SCIE
JOURNAL OF BIOMEDICAL NANOTECHNOLOGY;UNITED STATES OF AMERICA;3,641;2021;SCIE
JOURNAL OF BIOMEDICAL OPTICS;UNITED STATES OF AMERICA;3,5;2022;SCIE
JOURNAL OF BIOMEDICAL OPTICS;UNITED STATES OF AMERICA;3,582;2021;SCIE
JOURNAL OF BIOMEDICAL SCIENCE;TAIWAN;11;2022;SCIE
JOURNAL OF BIOMEDICAL SCIENCE;TAIWAN;12,771;2021;SCIE
JOURNAL OF BIOMEDICAL SEMANTICS;ENGLAND;1,9;2022;SCIE
JOURNAL OF BIOMEDICAL SEMANTICS;ENGLAND;1,675;2021;SCIE
JOURNAL OF BIOMOLECULAR NMR;NETHERLANDS;2,7;2022;SCIE
JOURNAL OF BIOMOLECULAR NMR;NETHERLANDS;2,582;2021;SCIE
JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS;UNITED STATES OF AMERICA;4,4;2022;SCIE
JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS;UNITED STATES OF AMERICA;5,235;2021;SCIE
JOURNAL OF BIONIC ENGINEERING;CHINA MAINLAND;4;2022;SCIE
JOURNAL OF BIONIC ENGINEERING;CHINA MAINLAND;2,995;2021;SCIE
JOURNAL OF BIOPHARMACEUTICAL STATISTICS;UNITED STATES OF AMERICA;1,1;2022;SCIE
JOURNAL OF BIOPHARMACEUTICAL STATISTICS;UNITED STATES OF AMERICA;1,503;2021;SCIE
ARCHAEOLOGIA AUSTRIACA;AUSTRIA;0,3;2022;ESCI
ARCHAEOLOGIA AUSTRIACA;AUSTRIA;;2021;ESCI
JOURNAL OF BIOPHOTONICS;GERMANY;2,8;2022;SCIE
JOURNAL OF BIOPHOTONICS;GERMANY;3,39;2021;SCIE
JOURNAL OF BIOSCIENCE AND BIOENGINEERING;JAPAN;2,8;2022;SCIE
JOURNAL OF BIOSCIENCE AND BIOENGINEERING;JAPAN;3,185;2021;SCIE
JOURNAL OF BIOSCIENCES;INDIA;2,9;2022;SCIE
JOURNAL OF BIOSCIENCES;INDIA;2,795;2021;SCIE
JOURNAL OF BIOTECHNOLOGY;NETHERLANDS;4,1;2022;SCIE
JOURNAL OF BIOTECHNOLOGY;NETHERLANDS;3,595;2021;SCIE
ARCHAEOLOGICAL DIALOGUES;ENGLAND;1,8;2022;AHCI
ARCHAEOLOGICAL DIALOGUES;ENGLAND;;2021;AHCI
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME;UNITED STATES OF AMERICA;5,3;2022;SCIE
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME;UNITED STATES OF AMERICA;6,558;2021;SCIE
JOURNAL OF BONE AND MINERAL METABOLISM;JAPAN;3,3;2022;SCIE
JOURNAL OF BONE AND MINERAL METABOLISM;JAPAN;2,976;2021;SCIE
JOURNAL OF BONE AND MINERAL RESEARCH;UNITED STATES OF AMERICA;6,2;2022;SCIE
JOURNAL OF BONE AND MINERAL RESEARCH;UNITED STATES OF AMERICA;6,39;2021;SCIE
ARCHAEOLOGY ETHNOLOGY AND ANTHROPOLOGY OF EURASIA;RUSSIAN FEDERATION;0,4;2022;ESCI
ARCHAEOLOGY ETHNOLOGY AND ANTHROPOLOGY OF EURASIA;RUSSIAN FEDERATION;;2021;ESCI
JOURNAL OF BREAST CANCER;SOUTH KOREA;2,4;2022;SCIE
JOURNAL OF BREAST CANCER;SOUTH KOREA;2,922;2021;SCIE
JOURNAL OF BREATH RESEARCH;ENGLAND;3,8;2022;SCIE
JOURNAL OF BREATH RESEARCH;ENGLAND;4,538;2021;SCIE
JOURNAL OF BRIDGE ENGINEERING;UNITED STATES OF AMERICA;3,6;2022;SCIE
JOURNAL OF BRIDGE ENGINEERING;UNITED STATES OF AMERICA;3,385;2021;SCIE
JOURNAL OF BRYOLOGY;ENGLAND;1,9;2022;SCIE
JOURNAL OF BRYOLOGY;ENGLAND;1,667;2021;SCIE
ARCHAEOLOGY INTERNATIONAL;ENGLAND;0,6;2022;ESCI
JOURNAL OF BUILDING ENGINEERING;NETHERLANDS;6,4;2022;SCIE
JOURNAL OF BUILDING ENGINEERING;NETHERLANDS;7,144;2021;SCIE
JOURNAL OF BUILDING PERFORMANCE SIMULATION;ENGLAND;2,5;2022;SCIE
JOURNAL OF BUILDING PERFORMANCE SIMULATION;ENGLAND;2,867;2021;SCIE
JOURNAL OF BUILDING PHYSICS;ENGLAND;2;2022;SCIE
JOURNAL OF BUILDING PHYSICS;ENGLAND;2,692;2021;SCIE
ARCHAEOLOGICAL JOURNAL;ENGLAND;0,5;2022;ESCI
ARCHAEOLOGICAL JOURNAL;ENGLAND;;2021;ESCI
JOURNAL OF BURN CARE & RESEARCH;UNITED STATES OF AMERICA;1,4;2022;SCIE
JOURNAL OF BURN CARE & RESEARCH;UNITED STATES OF AMERICA;1,819;2021;SCIE
JOURNAL OF BUSINESS & ECONOMIC STATISTICS;UNITED STATES OF AMERICA;3;2022;SCIE
JOURNAL OF BUSINESS & ECONOMIC STATISTICS;UNITED STATES OF AMERICA;3;2022;SSCI
JOURNAL OF BUSINESS & ECONOMIC STATISTICS;UNITED STATES OF AMERICA;3;2022;SCIE
JOURNAL OF BUSINESS & ECONOMIC STATISTICS;UNITED STATES OF AMERICA;3;2022;SSCI
JOURNAL OF BUSINESS & ECONOMIC STATISTICS;UNITED STATES OF AMERICA;5,309;2021;SCIE
JOURNAL OF BUSINESS & ECONOMIC STATISTICS;UNITED STATES OF AMERICA;5,309;2021;SSCI
JOURNAL OF BUSINESS & ECONOMIC STATISTICS;UNITED STATES OF AMERICA;5,309;2021;SCIE
JOURNAL OF BUSINESS & ECONOMIC STATISTICS;UNITED STATES OF AMERICA;5,309;2021;SSCI
JOURNAL OF CACHEXIA SARCOPENIA AND MUSCLE;GERMANY;8,9;2022;SCIE
JOURNAL OF CACHEXIA SARCOPENIA AND MUSCLE;GERMANY;12,063;2021;SCIE
JOURNAL OF CANCER;AUSTRALIA;3,9;2022;SCIE
JOURNAL OF CANCER;AUSTRALIA;4,478;2021;SCIE
ARCHAEOLOGIA MARITIMA MEDITERRANEA-AN INTERNATIONAL JOURNAL ON UNDERWATER ARCHAEOLOGY;ITALY;0,01;2022;ESCI
ARCHAEOLOGIA MARITIMA MEDITERRANEA-AN INTERNATIONAL JOURNAL ON UNDERWATER ARCHAEOLOGY;ITALY;;2021;ESCI
JOURNAL OF CANCER EDUCATION;UNITED STATES OF AMERICA;1,6;2022;SCIE
JOURNAL OF CANCER EDUCATION;UNITED STATES OF AMERICA;1,771;2021;SCIE
JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY;GERMANY;3,6;2022;SCIE
JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY;GERMANY;4,322;2021;SCIE
JOURNAL OF CANCER RESEARCH AND THERAPEUTICS;INDIA;1,3;2022;SCIE
JOURNAL OF CANCER RESEARCH AND THERAPEUTICS;INDIA;1,331;2021;SCIE
JOURNAL OF CANCER SURVIVORSHIP;UNITED STATES OF AMERICA;3,7;2022;SCIE
JOURNAL OF CANCER SURVIVORSHIP;UNITED STATES OF AMERICA;3,7;2022;SSCI
JOURNAL OF CANCER SURVIVORSHIP;UNITED STATES OF AMERICA;3,7;2022;SCIE
JOURNAL OF CANCER SURVIVORSHIP;UNITED STATES OF AMERICA;3,7;2022;SSCI
JOURNAL OF CANCER SURVIVORSHIP;UNITED STATES OF AMERICA;4,062;2021;SCIE
JOURNAL OF CANCER SURVIVORSHIP;UNITED STATES OF AMERICA;4,062;2021;SSCI
JOURNAL OF CANCER SURVIVORSHIP;UNITED STATES OF AMERICA;4,062;2021;SCIE
JOURNAL OF CANCER SURVIVORSHIP;UNITED STATES OF AMERICA;4,062;2021;SSCI
JOURNAL OF CARBOHYDRATE CHEMISTRY;UNITED STATES OF AMERICA;1;2022;SCIE
JOURNAL OF CARBOHYDRATE CHEMISTRY;UNITED STATES OF AMERICA;1,667;2021;SCIE
JOURNAL OF CARDIAC FAILURE;UNITED STATES OF AMERICA;6;2022;SCIE
JOURNAL OF CARDIAC FAILURE;UNITED STATES OF AMERICA;6,592;2021;SCIE
BORSA ISTANBUL REVIEW;NETHERLANDS;5,2;2022;SSCI
BORSA ISTANBUL REVIEW;NETHERLANDS;4,288;2021;SSCI
JOURNAL OF CARDIAC SURGERY;UNITED STATES OF AMERICA;1,6;2022;SCIE
JOURNAL OF CARDIAC SURGERY;UNITED STATES OF AMERICA;1,778;2021;SCIE
JOURNAL OF CARDIOLOGY;JAPAN;2,5;2022;SCIE
JOURNAL OF CARDIOLOGY;JAPAN;3,115;2021;SCIE
ARCHAEOLOGICAL REPORTS-LONDON;ENGLAND;0,4;2022;AHCI
ARCHAEOLOGICAL REPORTS-LONDON;ENGLAND;;2021;AHCI
JOURNAL OF CARDIOPULMONARY REHABILITATION AND PREVENTION;UNITED STATES OF AMERICA;3,8;2022;SCIE
JOURNAL OF CARDIOPULMONARY REHABILITATION AND PREVENTION;UNITED STATES OF AMERICA;3,697;2021;SCIE
JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA;UNITED STATES OF AMERICA;2,8;2022;SCIE
JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA;UNITED STATES OF AMERICA;2,894;2021;SCIE
ARCHAEOLOGICAL RESEARCH IN ASIA;ENGLAND;1,5;2022;AHCI
ARCHAEOLOGICAL RESEARCH IN ASIA;ENGLAND;;2021;AHCI
JOURNAL OF CARDIOTHORACIC SURGERY;ENGLAND;1,6;2022;SCIE
JOURNAL OF CARDIOTHORACIC SURGERY;ENGLAND;1,522;2021;SCIE
JOURNAL OF CARDIOVASCULAR COMPUTED TOMOGRAPHY;UNITED STATES OF AMERICA;5,4;2022;SCIE
JOURNAL OF CARDIOVASCULAR COMPUTED TOMOGRAPHY;UNITED STATES OF AMERICA;5,17;2021;SCIE
JOURNAL OF CARDIOVASCULAR DEVELOPMENT AND DISEASE;SWITZERLAND;2,4;2022;SCIE
JOURNAL OF CARDIOVASCULAR DEVELOPMENT AND DISEASE;SWITZERLAND;4,415;2021;SCIE
